QT	Question
Cause	Is there any evidence it can be caused by exposure to medication such as ciproxin?
Cause	In a non-diabetic mother, what is the most common cause of this condition in a baby?
Manifestation	In autosomal dominant polycystic kidney disease (ADPKD), does the symptom of tend to be the same among affected family members?
Manifestation	In autosomal dominant polycystic kidney disease (ADPKD), does the symptom of tend to be the same among affected family members (e.g., would a mother and her son with ADPKD be similarly affected)?
Manifestation	In autosomal dominant polycystic kidney disease (ADPKD), does the severity of symptoms of tend to be the same among affected family members?
Manifestation	In autosomal dominant polycystic kidney disease (ADPKD), does the severity of symptoms of tend to be the same among affected family members (e.g., would a mother and her son with ADPKD be similarly affected)?
Diagnosis	Should they be done after an episode or can they be done at any time?
Diagnosis	What are they?
Diagnosis	I need information on the initial tests that can be done to rule out systemic mastocytosis.
Susceptibility	I would also like to know if the Office of Rare Diseases (ORD) at the National Institutes of Health (NIH) lists myelofibrosis as a rare disease.
